Seed,Ratio Test,K,Accuracy
17,0.25,3,0.6
17,0.25,5,0.625
17,0.25,7,0.625
17,0.3,3,0.6041666666666666
17,0.3,5,0.6458333333333334
17,0.3,7,0.6458333333333334
18,0.1,3,0.5625
18,0.1,5,0.5
18,0.1,7,0.5625
18,0.2,3,0.65625
18,0.2,5,0.625
18,0.2,7,0.59375
18,0.25,3,0.575
18,0.25,5,0.575
18,0.25,7,0.625
18,0.3,3,0.625
18,0.3,5,0.6041666666666666
18,0.3,7,0.6458333333333334
19,0.1,3,0.75
19,0.1,5,0.625
19,0.1,7,0.6875
19,0.2,3,0.65625
19,0.2,5,0.65625
19,0.2,7,0.6875
19,0.25,3,0.6
19,0.25,5,0.6
19,0.25,7,0.675
19,0.3,3,0.6458333333333334
19,0.3,5,0.6458333333333334
19,0.3,7,0.6458333333333334
20,0.1,3,0.75
20,0.1,5,0.75
20,0.1,7,0.875
20,0.2,3,0.65625
20,0.2,5,0.71875
20,0.2,7,0.75
20,0.25,3,0.65
20,0.25,5,0.625
20,0.25,7,0.675
20,0.3,3,0.6458333333333334
20,0.3,5,0.6666666666666666
20,0.3,7,0.6875
21,0.1,3,0.4375
21,0.1,5,0.5
21,0.1,7,0.5
21,0.2,3,0.5
21,0.2,5,0.59375
21,0.2,7,0.59375
21,0.25,3,0.55
21,0.25,5,0.625
21,0.25,7,0.625
21,0.3,3,0.5208333333333334
21,0.3,5,0.5625
21,0.3,7,0.625
22,0.1,3,0.4375
22,0.1,5,0.5625
22,0.1,7,0.5
22,0.2,3,0.65625
22,0.2,5,0.65625
22,0.2,7,0.59375
22,0.25,3,0.6
22,0.25,5,0.675
22,0.25,7,0.675
22,0.3,3,0.6458333333333334
22,0.3,5,0.6875
22,0.3,7,0.7083333333333334
23,0.1,3,0.75
23,0.1,5,0.6875
23,0.1,7,0.6875
23,0.2,3,0.6875
23,0.2,5,0.71875
23,0.2,7,0.6875
23,0.25,3,0.675
23,0.25,5,0.75
23,0.25,7,0.725
23,0.3,3,0.6666666666666666
23,0.3,5,0.75
23,0.3,7,0.75
24,0.1,3,0.5
24,0.1,5,0.5625
24,0.1,7,0.625
24,0.2,3,0.53125
24,0.2,5,0.59375
24,0.2,7,0.65625
24,0.25,3,0.55
24,0.25,5,0.6
24,0.25,7,0.65
24,0.3,3,0.6041666666666666
24,0.3,5,0.625
24,0.3,7,0.6458333333333334
25,0.1,3,0.375
25,0.1,5,0.5
25,0.1,7,0.4375
25,0.2,3,0.53125
25,0.2,5,0.59375
25,0.2,7,0.53125
25,0.25,3,0.6
25,0.25,5,0.65
25,0.25,7,0.6
25,0.3,3,0.6666666666666666
25,0.3,5,0.6666666666666666
25,0.3,7,0.6875
26,0.1,3,0.5
26,0.1,5,0.75
26,0.1,7,0.625
26,0.2,3,0.53125
26,0.2,5,0.75
26,0.2,7,0.65625
26,0.25,3,0.55
26,0.25,5,0.725
26,0.25,7,0.625
26,0.3,3,0.6041666666666666
26,0.3,5,0.7083333333333334
26,0.3,7,0.625
27,0.1,3,0.5625
27,0.1,5,0.6875
27,0.1,7,0.5625
27,0.2,3,0.625
27,0.2,5,0.71875
27,0.2,7,0.65625
27,0.25,3,0.675
27,0.25,5,0.65
27,0.25,7,0.675
27,0.3,3,0.6875
27,0.3,5,0.6666666666666666
27,0.3,7,0.6875
28,0.1,3,0.6875
28,0.1,5,0.8125
28,0.1,7,0.75
28,0.2,3,0.71875
28,0.2,5,0.78125
28,0.2,7,0.78125
28,0.25,3,0.675
28,0.25,5,0.725
28,0.25,7,0.725
28,0.3,3,0.6875
28,0.3,5,0.7083333333333334
28,0.3,7,0.7291666666666666
29,0.1,3,0.625
29,0.1,5,0.6875
29,0.1,7,0.75
29,0.2,3,0.65625
29,0.2,5,0.78125
29,0.2,7,0.78125
29,0.25,3,0.7
29,0.25,5,0.8
29,0.25,7,0.75
29,0.3,3,0.6666666666666666
29,0.3,5,0.7708333333333334
29,0.3,7,0.7291666666666666
30,0.1,3,0.5625
30,0.1,5,0.625
30,0.1,7,0.5
30,0.2,3,0.65625
30,0.2,5,0.625
30,0.2,7,0.59375
30,0.25,3,0.725
30,0.25,5,0.7
30,0.25,7,0.65
30,0.3,3,0.6875
30,0.3,5,0.6666666666666666
30,0.3,7,0.625
31,0.1,3,0.5
31,0.1,5,0.5
31,0.1,7,0.625
31,0.2,3,0.46875
31,0.2,5,0.53125
31,0.2,7,0.5625
31,0.25,3,0.6
31,0.25,5,0.625
31,0.25,7,0.625
31,0.3,3,0.6041666666666666
31,0.3,5,0.625
31,0.3,7,0.6666666666666666
32,0.1,3,0.5625
32,0.1,5,0.6875
32,0.1,7,0.6875
32,0.2,3,0.5625
32,0.2,5,0.59375
32,0.2,7,0.625
32,0.25,3,0.55
32,0.25,5,0.55
32,0.25,7,0.625
32,0.3,3,0.5625
32,0.3,5,0.5833333333333334
32,0.3,7,0.625
33,0.1,3,0.375
33,0.1,5,0.6875
33,0.1,7,0.4375
33,0.2,3,0.5625
33,0.2,5,0.65625
33,0.2,7,0.59375
33,0.25,3,0.65
33,0.25,5,0.675
33,0.25,7,0.65
33,0.3,3,0.5833333333333334
33,0.3,5,0.625
33,0.3,7,0.6041666666666666
34,0.1,3,0.5
34,0.1,5,0.5625
34,0.1,7,0.5
34,0.2,3,0.5625
34,0.2,5,0.625
34,0.2,7,0.59375
34,0.25,3,0.6
34,0.25,5,0.625
34,0.25,7,0.625
34,0.3,3,0.5833333333333334
34,0.3,5,0.6041666666666666
34,0.3,7,0.625
35,0.1,3,0.375
35,0.1,5,0.5625
35,0.1,7,0.5
35,0.2,3,0.5
35,0.2,5,0.59375
35,0.2,7,0.5625
35,0.25,3,0.475
35,0.25,5,0.5
35,0.25,7,0.575
35,0.3,3,0.5416666666666666
35,0.3,5,0.5625
35,0.3,7,0.625
36,0.1,3,0.5
36,0.1,5,0.5625
36,0.1,7,0.5625
36,0.2,3,0.5625
36,0.2,5,0.625
36,0.2,7,0.59375
36,0.25,3,0.6
36,0.25,5,0.625
36,0.25,7,0.6
36,0.3,3,0.625
36,0.3,5,0.6458333333333334
36,0.3,7,0.625
37,0.1,3,0.375
37,0.1,5,0.4375
37,0.1,7,0.5
37,0.2,3,0.5
37,0.2,5,0.59375
37,0.2,7,0.59375
37,0.25,3,0.525
37,0.25,5,0.6
37,0.25,7,0.575
37,0.3,3,0.5833333333333334
37,0.3,5,0.6458333333333334
37,0.3,7,0.6458333333333334
38,0.1,3,0.625
38,0.1,5,0.6875
38,0.1,7,0.6875
38,0.2,3,0.59375
38,0.2,5,0.71875
38,0.2,7,0.6875
38,0.25,3,0.65
38,0.25,5,0.75
38,0.25,7,0.7
38,0.3,3,0.6041666666666666
38,0.3,5,0.6666666666666666
38,0.3,7,0.6458333333333334
39,0.1,3,0.5625
39,0.1,5,0.5625
39,0.1,7,0.625
39,0.2,3,0.5
39,0.2,5,0.46875
39,0.2,7,0.53125
39,0.25,3,0.575
39,0.25,5,0.55
39,0.25,7,0.6
39,0.3,3,0.5833333333333334
39,0.3,5,0.5625
39,0.3,7,0.5833333333333334
40,0.1,3,0.4375
40,0.1,5,0.625
40,0.1,7,0.625
40,0.2,3,0.65625
40,0.2,5,0.6875
40,0.2,7,0.6875
40,0.25,3,0.625
40,0.25,5,0.625
40,0.25,7,0.65
40,0.3,3,0.625
40,0.3,5,0.6041666666666666
40,0.3,7,0.6666666666666666
41,0.1,3,0.625
41,0.1,5,0.6875
41,0.1,7,0.625
41,0.2,3,0.625
41,0.2,5,0.65625
41,0.2,7,0.65625
41,0.25,3,0.6
41,0.25,5,0.575
41,0.25,7,0.575
41,0.3,3,0.6041666666666666
41,0.3,5,0.5833333333333334
41,0.3,7,0.5833333333333334
42,0.1,3,0.6875
42,0.1,5,0.75
42,0.1,7,0.75
42,0.2,3,0.625
42,0.2,5,0.5625
42,0.2,7,0.5625
42,0.25,3,0.625
42,0.25,5,0.575
42,0.25,7,0.6
42,0.3,3,0.6041666666666666
42,0.3,5,0.5625
42,0.3,7,0.625
43,0.1,3,0.625
43,0.1,5,0.6875
43,0.1,7,0.75
43,0.2,3,0.6875
43,0.2,5,0.75
43,0.2,7,0.65625
43,0.25,3,0.65
43,0.25,5,0.7
43,0.25,7,0.65
43,0.3,3,0.6666666666666666
43,0.3,5,0.6875
43,0.3,7,0.7083333333333334
44,0.1,3,0.5625
44,0.1,5,0.5625
44,0.1,7,0.625
44,0.2,3,0.5625
44,0.2,5,0.5625
44,0.2,7,0.59375
44,0.25,3,0.5
44,0.25,5,0.55
44,0.25,7,0.6
44,0.3,3,0.5208333333333334
44,0.3,5,0.5625
44,0.3,7,0.5416666666666666
45,0.1,3,0.375
45,0.1,5,0.375
45,0.1,7,0.3125
45,0.2,3,0.59375
45,0.2,5,0.5625
45,0.2,7,0.53125
45,0.25,3,0.55
45,0.25,5,0.625
45,0.25,7,0.575
45,0.3,3,0.625
45,0.3,5,0.6666666666666666
45,0.3,7,0.6875
46,0.1,3,0.5625
46,0.1,5,0.5625
46,0.1,7,0.6875
46,0.2,3,0.65625
46,0.2,5,0.65625
46,0.2,7,0.71875
46,0.25,3,0.675
46,0.25,5,0.625
46,0.25,7,0.7
46,0.3,3,0.625
46,0.3,5,0.6666666666666666
46,0.3,7,0.6875
47,0.1,3,0.5
47,0.1,5,0.625
47,0.1,7,0.625
47,0.2,3,0.59375
47,0.2,5,0.625
47,0.2,7,0.65625
47,0.25,3,0.55
47,0.25,5,0.65
47,0.25,7,0.6
47,0.3,3,0.6041666666666666
47,0.3,5,0.6458333333333334
47,0.3,7,0.6458333333333334
48,0.1,3,0.6875
48,0.1,5,0.6875
48,0.1,7,0.75
48,0.2,3,0.6875
48,0.2,5,0.65625
48,0.2,7,0.71875
48,0.25,3,0.65
48,0.25,5,0.65
48,0.25,7,0.7
48,0.3,3,0.6458333333333334
48,0.3,5,0.6666666666666666
48,0.3,7,0.6666666666666666
49,0.1,3,0.375
49,0.1,5,0.375
49,0.1,7,0.375
49,0.2,3,0.4375
49,0.2,5,0.40625
49,0.2,7,0.4375
49,0.25,3,0.475
49,0.25,5,0.5
49,0.25,7,0.55
49,0.3,3,0.5208333333333334
49,0.3,5,0.5416666666666666
49,0.3,7,0.5625
50,0.1,3,0.5625
50,0.1,5,0.625
50,0.1,7,0.6875
50,0.2,3,0.6875
50,0.2,5,0.71875
50,0.2,7,0.78125
50,0.25,3,0.675
50,0.25,5,0.725
50,0.25,7,0.725
50,0.3,3,0.6875
50,0.3,5,0.7083333333333334
50,0.3,7,0.7083333333333334
51,0.1,3,0.5625
51,0.1,5,0.625
51,0.1,7,0.625
51,0.2,3,0.5625
51,0.2,5,0.65625
51,0.2,7,0.6875
51,0.25,3,0.55
51,0.25,5,0.675
51,0.25,7,0.65
51,0.3,3,0.5833333333333334
51,0.3,5,0.6875
51,0.3,7,0.6875
52,0.1,3,0.6875
52,0.1,5,0.625
52,0.1,7,0.75
52,0.2,3,0.625
52,0.2,5,0.6875
52,0.2,7,0.65625
52,0.25,3,0.625
52,0.25,5,0.675
52,0.25,7,0.65
52,0.3,3,0.5625
52,0.3,5,0.6666666666666666
52,0.3,7,0.6666666666666666
53,0.1,3,0.4375
53,0.1,5,0.5625
53,0.1,7,0.5
53,0.2,3,0.65625
53,0.2,5,0.75
53,0.2,7,0.6875
53,0.25,3,0.575
53,0.25,5,0.675
53,0.25,7,0.65
53,0.3,3,0.5625
53,0.3,5,0.6666666666666666
53,0.3,7,0.6666666666666666
54,0.1,3,0.6875
54,0.1,5,0.75
54,0.1,7,0.75
54,0.2,3,0.625
54,0.2,5,0.625
54,0.2,7,0.59375
54,0.25,3,0.65
54,0.25,5,0.625
54,0.25,7,0.625
54,0.3,3,0.6666666666666666
54,0.3,5,0.6666666666666666
54,0.3,7,0.625
55,0.1,3,0.5
55,0.1,5,0.5625
55,0.1,7,0.6875
55,0.2,3,0.5
55,0.2,5,0.59375
55,0.2,7,0.5
55,0.25,3,0.55
55,0.25,5,0.6
55,0.25,7,0.525
55,0.3,3,0.5
55,0.3,5,0.5416666666666666
55,0.3,7,0.5208333333333334
56,0.1,3,0.75
56,0.1,5,0.8125
56,0.1,7,0.8125
56,0.2,3,0.75
56,0.2,5,0.8125
56,0.2,7,0.84375
56,0.25,3,0.7
56,0.25,5,0.7
56,0.25,7,0.775
56,0.3,3,0.6666666666666666
56,0.3,5,0.6875
56,0.3,7,0.7291666666666666
57,0.1,3,0.4375
57,0.1,5,0.5
57,0.1,7,0.5625
57,0.2,3,0.625
57,0.2,5,0.6875
57,0.2,7,0.6875
57,0.25,3,0.675
57,0.25,5,0.75
57,0.25,7,0.725
57,0.3,3,0.6875
57,0.3,5,0.7083333333333334
57,0.3,7,0.75
58,0.1,3,0.75
58,0.1,5,0.6875
58,0.1,7,0.6875
58,0.2,3,0.71875
58,0.2,5,0.71875
58,0.2,7,0.71875
58,0.25,3,0.65
58,0.25,5,0.65
58,0.25,7,0.725
58,0.3,3,0.5833333333333334
58,0.3,5,0.625
58,0.3,7,0.625
59,0.1,3,0.6875
59,0.1,5,0.8125
59,0.1,7,0.6875
59,0.2,3,0.59375
59,0.2,5,0.625
59,0.2,7,0.59375
59,0.25,3,0.6
59,0.25,5,0.6
59,0.25,7,0.6
59,0.3,3,0.5625
59,0.3,5,0.625
59,0.3,7,0.625
60,0.1,3,0.4375
60,0.1,5,0.5625
60,0.1,7,0.6875
60,0.2,3,0.59375
60,0.2,5,0.65625
60,0.2,7,0.71875
60,0.25,3,0.525
60,0.25,5,0.6
60,0.25,7,0.675
60,0.3,3,0.5625
60,0.3,5,0.6458333333333334
60,0.3,7,0.6875
61,0.1,3,0.625
61,0.1,5,0.5625
61,0.1,7,0.625
61,0.2,3,0.71875
61,0.2,5,0.65625
61,0.2,7,0.75
61,0.25,3,0.625
61,0.25,5,0.625
61,0.25,7,0.625
61,0.3,3,0.6666666666666666
61,0.3,5,0.6666666666666666
61,0.3,7,0.6666666666666666
62,0.1,3,0.625
62,0.1,5,0.625
62,0.1,7,0.6875
62,0.2,3,0.625
62,0.2,5,0.625
62,0.2,7,0.65625
62,0.25,3,0.625
62,0.25,5,0.625
62,0.25,7,0.65
62,0.3,3,0.6041666666666666
62,0.3,5,0.6666666666666666
62,0.3,7,0.6458333333333334
63,0.1,3,0.625
63,0.1,5,0.75
63,0.1,7,0.8125
63,0.2,3,0.59375
63,0.2,5,0.75
63,0.2,7,0.8125
63,0.25,3,0.6
63,0.25,5,0.75
63,0.25,7,0.775
63,0.3,3,0.5833333333333334
63,0.3,5,0.6875
63,0.3,7,0.6875
64,0.1,3,0.5
64,0.1,5,0.5625
64,0.1,7,0.5625
64,0.2,3,0.5625
64,0.2,5,0.59375
64,0.2,7,0.59375
64,0.25,3,0.55
64,0.25,5,0.575
64,0.25,7,0.625
64,0.3,3,0.5625
64,0.3,5,0.625
64,0.3,7,0.6875
65,0.1,3,0.25
65,0.1,5,0.5625
65,0.1,7,0.4375
65,0.2,3,0.5625
65,0.2,5,0.625
65,0.2,7,0.53125
65,0.25,3,0.6
65,0.25,5,0.625
65,0.25,7,0.6
65,0.3,3,0.6458333333333334
65,0.3,5,0.7083333333333334
65,0.3,7,0.6458333333333334
66,0.1,3,0.375
66,0.1,5,0.5
66,0.1,7,0.4375
66,0.2,3,0.5
66,0.2,5,0.5625
66,0.2,7,0.5625
66,0.25,3,0.525
66,0.25,5,0.65
66,0.25,7,0.65
66,0.3,3,0.5625
66,0.3,5,0.6666666666666666
66,0.3,7,0.6875
67,0.1,3,0.6875
67,0.1,5,0.75
67,0.1,7,0.6875
67,0.2,3,0.59375
67,0.2,5,0.6875
67,0.2,7,0.75
67,0.25,3,0.625
67,0.25,5,0.7
67,0.25,7,0.775
67,0.3,3,0.625
67,0.3,5,0.6875
67,0.3,7,0.7708333333333334
68,0.1,3,0.5625
68,0.1,5,0.5625
68,0.1,7,0.5625
68,0.2,3,0.625
68,0.2,5,0.65625
68,0.2,7,0.65625
68,0.25,3,0.6
68,0.25,5,0.6
68,0.25,7,0.575
68,0.3,3,0.5833333333333334
68,0.3,5,0.6666666666666666
68,0.3,7,0.6458333333333334
69,0.1,3,0.75
69,0.1,5,0.75
69,0.1,7,0.8125
69,0.2,3,0.71875
69,0.2,5,0.78125
69,0.2,7,0.75
69,0.25,3,0.725
69,0.25,5,0.8
69,0.25,7,0.75
69,0.3,3,0.6458333333333334
69,0.3,5,0.75
