Seed,Ratio Test,K,Accuracy
22,0.3,5,0.8125
22,0.3,7,0.8541666666666666
23,0.1,3,0.75
23,0.1,5,0.6875
23,0.1,7,0.625
23,0.2,3,0.78125
23,0.2,5,0.75
23,0.2,7,0.75
23,0.3,3,0.7083333333333334
23,0.3,5,0.7291666666666666
23,0.3,7,0.6666666666666666
24,0.1,3,0.75
24,0.1,5,0.875
24,0.1,7,0.8125
24,0.2,3,0.78125
24,0.2,5,0.75
24,0.2,7,0.6875
24,0.3,3,0.7291666666666666
24,0.3,5,0.7083333333333334
24,0.3,7,0.6875
25,0.1,3,0.6875
25,0.1,5,0.8125
25,0.1,7,0.8125
25,0.2,3,0.71875
25,0.2,5,0.71875
25,0.2,7,0.78125
25,0.3,3,0.7291666666666666
25,0.3,5,0.75
25,0.3,7,0.7708333333333334
26,0.1,3,0.6875
26,0.1,5,0.75
26,0.1,7,0.75
26,0.2,3,0.75
26,0.2,5,0.65625
26,0.2,7,0.625
26,0.3,3,0.75
26,0.3,5,0.7291666666666666
26,0.3,7,0.6666666666666666
27,0.1,3,0.875
27,0.1,5,0.875
27,0.1,7,0.8125
27,0.2,3,0.75
27,0.2,5,0.71875
27,0.2,7,0.65625
27,0.3,3,0.6875
27,0.3,5,0.6875
27,0.3,7,0.6458333333333334
28,0.1,3,0.875
28,0.1,5,0.875
28,0.1,7,0.875
28,0.2,3,0.6875
28,0.2,5,0.78125
28,0.2,7,0.75
28,0.3,3,0.625
28,0.3,5,0.5833333333333334
28,0.3,7,0.5625
29,0.1,3,0.8125
29,0.1,5,0.875
29,0.1,7,0.75
29,0.2,3,0.625
29,0.2,5,0.78125
29,0.2,7,0.6875
29,0.3,3,0.6666666666666666
29,0.3,5,0.7083333333333334
29,0.3,7,0.6875
30,0.1,3,0.75
30,0.1,5,0.875
30,0.1,7,0.8125
30,0.2,3,0.75
30,0.2,5,0.78125
30,0.2,7,0.78125
30,0.3,3,0.6875
30,0.3,5,0.7291666666666666
30,0.3,7,0.6875
31,0.1,3,0.6875
31,0.1,5,0.75
31,0.1,7,0.8125
31,0.2,3,0.75
31,0.2,5,0.75
31,0.2,7,0.78125
31,0.3,3,0.7708333333333334
31,0.3,5,0.7916666666666666
31,0.3,7,0.7916666666666666
32,0.1,3,0.75
32,0.1,5,0.75
32,0.1,7,0.875
32,0.2,3,0.65625
32,0.2,5,0.625
32,0.2,7,0.75
32,0.3,3,0.6041666666666666
32,0.3,5,0.5833333333333334
32,0.3,7,0.6041666666666666
33,0.1,3,0.75
33,0.1,5,0.8125
33,0.1,7,0.8125
33,0.2,3,0.6875
